Statename,State,FIPS,COUNTY,checker,plumbing,total,rank
Michigan,MI,26033,Chippewa County,"Chippewa County, Michigan",0.996,14662,672
Kentucky,KY,21135,Lewis County,"Lewis County, Kentucky",0.995,4925,673
Louisiana,LA,22089,St. Charles Parish,"St. Charles Parish, Louisiana",0.994,18406,674
Colorado,CO,8025,Crowley County,"Crowley County, Colorado",0.994,1207,675
Texas,TX,48365,Panola County,"Panola County, Texas",0.992,8870,676
Kentucky,KY,21023,Bracken County,"Bracken County, Kentucky",0.990,3231,677
Utah,UT,49021,Iron County,"Iron County, Utah",0.987,15497,678
Minnesota,MN,27023,Chippewa County,"Chippewa County, Minnesota",0.983,5188,679
South Dakota,SD,46041,Dewey County,"Dewey County, South Dakota",0.980,1734,680
Illinois,IL,17139,Moultrie County,"Moultrie County, Illinois",0.980,5615,681
Maryland,MD,24037,St. Mary's County,"St. Mary's County, Maryland",0.977,37352,682
California,CA,6019,Fresno County,"Fresno County, California",0.977,287082,683
Texas,TX,48433,Stonewall County,"Stonewall County, Texas",0.976,615,684
Oklahoma,OK,40091,McIntosh County,"McIntosh County, Oklahoma",0.975,8000,685
Kansas,KS,20049,Elk County,"Elk County, Kansas",0.974,1232,686
Georgia,GA,13287,Turner County,"Turner County, Georgia",0.974,3081,687
Texas,TX,48101,Cottle County,"Cottle County, Texas",0.974,719,688
Texas,TX,48391,Refugio County,"Refugio County, Texas",0.970,2784,689
California,CA,6057,Nevada County,"Nevada County, California",0.968,41626,690
Arkansas,AR,5021,Clay County,"Clay County, Arkansas",0.964,6848,691
Minnesota,MN,27165,Watonwan County,"Watonwan County, Minnesota",0.963,4463,692
New Mexico,NM,35005,Chaves County,"Chaves County, New Mexico",0.963,23563,693
Oklahoma,OK,40067,Jefferson County,"Jefferson County, Oklahoma",0.963,2492,694
Tennessee,TN,47093,Knox County,"Knox County, Tennessee",0.962,181120,695
Mississippi,MS,28113,Pike County,"Pike County, Mississippi",0.962,14867,696
Florida,FL,12089,Nassau County,"Nassau County, Florida",0.961,27463,697
Washington,WA,53049,Pacific County,"Pacific County, Washington",0.961,9363,698
Washington,WA,53077,Yakima County,"Yakima County, Washington",0.960,79478,699
Kentucky,KY,21087,Green County,"Green County, Kentucky",0.960,4480,700
Oklahoma,OK,40123,Pontotoc County,"Pontotoc County, Oklahoma",0.960,14692,701
Oregon,OR,41015,Curry County,"Curry County, Oregon",0.959,10320,702
Washington,WA,53009,Clallam County,"Clallam County, Washington",0.959,30877,703
Kansas,KS,20019,Chautauqua County,"Chautauqua County, Kansas",0.958,1565,704
Maryland,MD,24019,Dorchester County,"Dorchester County, Maryland",0.958,13569,705
California,CA,6087,Santa Cruz County,"Santa Cruz County, California",0.957,93310,706
Texas,TX,48177,Gonzales County,"Gonzales County, Texas",0.955,6804,707
Oklahoma,OK,40081,Lincoln County,"Lincoln County, Oklahoma",0.955,12985,708
Tennessee,TN,47005,Benton County,"Benton County, Tennessee",0.953,7030,709
Illinois,IL,17121,Marion County,"Marion County, Illinois",0.953,15958,710
Texas,TX,48315,Marion County,"Marion County, Texas",0.952,4620,711
Texas,TX,48265,Kerr County,"Kerr County, Texas",0.952,20376,712
Iowa,IA,19063,Emmet County,"Emmet County, Iowa",0.951,4208,713
Georgia,GA,13047,Catoosa County,"Catoosa County, Georgia",0.949,23808,714
Mississippi,MS,28135,Tallahatchie County,"Tallahatchie County, Mississippi",0.949,4637,715
Kansas,KS,20117,Marshall County,"Marshall County, Kansas",0.948,4324,716
Iowa,IA,19031,Cedar County,"Cedar County, Iowa",0.948,7594,717
Kentucky,KY,21035,Calloway County,"Calloway County, Kentucky",0.947,14998,718
Ohio,OH,39007,Ashtabula County,"Ashtabula County, Ohio",0.946,38889,719
Virginia,VA,51017,Bath County,"Bath County, Virginia",0.946,2008,720
Kentucky,KY,21079,Garrard County,"Garrard County, Kentucky",0.946,6239,721
Missouri,MO,29027,Callaway County,"Callaway County, Missouri",0.945,16828,722
Mississippi,MS,28093,Marshall County,"Marshall County, Mississippi",0.945,13019,723
Virginia,VA,51159,Richmond County,"Richmond County, Virginia",0.944,2754,724
South Dakota,SD,46033,Custer County,"Custer County, South Dakota",0.944,3602,725
Kentucky,KY,21175,Morgan County,"Morgan County, Kentucky",0.943,4666,726
Texas,TX,48341,Moore County,"Moore County, Texas",0.941,6799,727
Texas,TX,48473,Waller County,"Waller County, Texas",0.941,13492,728
West Virginia,WV,54091,Taylor County,"Taylor County, West Virginia",0.941,6800,729
Texas,TX,48221,Hood County,"Hood County, Texas",0.940,20631,730
Maine,ME,23021,Piscataquis County,"Piscataquis County, Maine",0.940,7765,731
South Carolina,SC,45047,Greenwood County,"Greenwood County, South Carolina",0.940,26288,732
Iowa,IA,19053,Decatur County,"Decatur County, Iowa",0.939,3196,733
California,CA,6031,Kings County,"Kings County, California",0.937,40767,734
Texas,TX,48155,Foard County,"Foard County, Texas",0.935,535,735
Florida,FL,12043,Glades County,"Glades County, Florida",0.935,3745,735
New York,NY,36123,Yates County,"Yates County, New York",0.934,9531,737
Vermont,VT,50001,Addison County,"Addison County, Vermont",0.933,14141,738
Arkansas,AR,5141,Van Buren County,"Van Buren County, Arkansas",0.932,7080,739
Maine,ME,23019,Penobscot County,"Penobscot County, Maine",0.930,62674,740
West Virginia,WV,54089,Summers County,"Summers County, West Virginia",0.930,5270,741
Kansas,KS,20029,Cloud County,"Cloud County, Kansas",0.928,3985,742
Minnesota,MN,27087,Mahnomen County,"Mahnomen County, Minnesota",0.928,2047,743
New Hampshire,NH,33009,Grafton County,"Grafton County, New Hampshire",0.925,34816,744
Mississippi,MS,28005,Amite County,"Amite County, Mississippi",0.925,5191,745
Louisiana,LA,22001,Acadia Parish,"Acadia Parish, Louisiana",0.925,22173,746
South Carolina,SC,45071,Newberry County,"Newberry County, South Carolina",0.924,14176,747
Montana,MT,30047,Lake County,"Lake County, Montana",0.923,12023,748
Alabama,AL,1025,Clarke County,"Clarke County, Alabama",0.923,9321,749
Oklahoma,OK,40039,Custer County,"Custer County, Oklahoma",0.921,10421,750
Texas,TX,48119,Delta County,"Delta County, Texas",0.921,1955,751
Georgia,GA,13205,Mitchell County,"Mitchell County, Georgia",0.920,8150,752
Ohio,OH,39097,Madison County,"Madison County, Ohio",0.920,14779,753
Kansas,KS,20175,Seward County,"Seward County, Kansas",0.920,7391,754
Texas,TX,48223,Hopkins County,"Hopkins County, Texas",0.920,13262,755
North Dakota,ND,38053,McKenzie County,"McKenzie County, North Dakota",0.920,2609,756
West Virginia,WV,54001,Barbour County,"Barbour County, West Virginia",0.918,6206,757
Louisiana,LA,22083,Richland Parish,"Richland Parish, Louisiana",0.918,7406,758
Montana,MT,30011,Carter County,"Carter County, Montana",0.917,545,759
Montana,MT,30055,McCone County,"McCone County, Montana",0.917,763,759
Kentucky,KY,21195,Pike County,"Pike County, Kentucky",0.917,26822,761
Texas,TX,48487,Wilbarger County,"Wilbarger County, Texas",0.917,5125,762
Maine,ME,23015,Lincoln County,"Lincoln County, Maine",0.917,15050,763
Wisconsin,WI,55093,Pierce County,"Pierce County, Wisconsin",0.915,14975,764
North Carolina,NC,37091,Hertford County,"Hertford County, North Carolina",0.914,8859,765
Texas,TX,48125,Dickens County,"Dickens County, Texas",0.914,875,766
New Mexico,NM,35049,Santa Fe County,"Santa Fe County, New Mexico",0.914,60954,767
Idaho,ID,16053,Jerome County,"Jerome County, Idaho",0.914,7552,768
Illinois,IL,17075,Iroquois County,"Iroquois County, Illinois",0.913,11935,769
Texas,TX,48045,Briscoe County,"Briscoe County, Texas",0.913,657,770
Kentucky,KY,21055,Crittenden County,"Crittenden County, Kentucky",0.913,3835,771
Missouri,MO,29081,Harrison County,"Harrison County, Missouri",0.912,3620,772
Tennessee,TN,47033,Crockett County,"Crockett County, Tennessee",0.912,5595,773
Kentucky,KY,21039,Carlisle County,"Carlisle County, Kentucky",0.911,2085,774
Missouri,MO,29121,Macon County,"Macon County, Missouri",0.911,6366,775
Mississippi,MS,28095,Monroe County,"Monroe County, Mississippi",0.910,14393,776
New Mexico,NM,35017,Grant County,"Grant County, New Mexico",0.910,12307,777
New York,NY,36037,Genesee County,"Genesee County, New York",0.910,23962,778
Kentucky,KY,21121,Knox County,"Knox County, Kentucky",0.910,12421,779
Nevada,NV,32015,Lander County,"Lander County, Nevada",0.909,1980,780
New York,NY,36077,Otsego County,"Otsego County, New York",0.909,24541,781
New York,NY,36025,Delaware County,"Delaware County, New York",0.909,19920,782
Montana,MT,30013,Cascade County,"Cascade County, Montana",0.908,33352,783
South Dakota,SD,46087,McCook County,"McCook County, South Dakota",0.908,2203,784
California,CA,6009,Calaveras County,"Calaveras County, California",0.908,18618,785
Nebraska,NE,31013,Box Butte County,"Box Butte County, Nebraska",0.907,4849,786
Texas,TX,48273,Kleberg County,"Kleberg County, Texas",0.907,11024,787
Colorado,CO,8013,Boulder County,"Boulder County, Colorado",0.906,120061,788
Kentucky,KY,21025,Breathitt County,"Breathitt County, Kentucky",0.906,5297,789
Tennessee,TN,47121,Meigs County,"Meigs County, Tennessee",0.906,4636,790
Kentucky,KY,21099,Hart County,"Hart County, Kentucky",0.906,6957,791
Georgia,GA,13123,Gilmer County,"Gilmer County, Georgia",0.905,11270,792
Kansas,KS,20075,Hamilton County,"Hamilton County, Kansas",0.905,1105,793
Texas,TX,48141,El Paso County,"El Paso County, Texas",0.904,252426,794
Louisiana,LA,22101,St. Mary Parish,"St. Mary Parish, Louisiana",0.903,20164,795
Minnesota,MN,27011,Big Stone County,"Big Stone County, Minnesota",0.902,2329,796
Pennsylvania,PA,42073,Lawrence County,"Lawrence County, Pennsylvania",0.902,36712,797
North Carolina,NC,37141,Pender County,"Pender County, North Carolina",0.900,20217,798
Tennessee,TN,47113,Madison County,"Madison County, Tennessee",0.899,36060,799
Georgia,GA,13167,Johnson County,"Johnson County, Georgia",0.898,3340,800
Virginia,VA,51049,Cumberland County,"Cumberland County, Virginia",0.896,4016,801
Arkansas,AR,5053,Grant County,"Grant County, Arkansas",0.896,6697,802
Ohio,OH,39169,Wayne County,"Wayne County, Ohio",0.895,42354,803
Mississippi,MS,28089,Madison County,"Madison County, Mississippi",0.895,35774,804
Illinois,IL,17025,Clay County,"Clay County, Illinois",0.894,5591,805
Maine,ME,23003,Aroostook County,"Aroostook County, Maine",0.894,30432,806
South Carolina,SC,45075,Orangeburg County,"Orangeburg County, South Carolina",0.893,34590,807
Alabama,AL,1061,Geneva County,"Geneva County, Alabama",0.892,10985,808
Tennessee,TN,47019,Carter County,"Carter County, Tennessee",0.892,23998,809
Iowa,IA,19101,Jefferson County,"Jefferson County, Iowa",0.891,6844,810
South Carolina,SC,45089,Williamsburg County,"Williamsburg County, South Carolina",0.891,11341,811
Missouri,MO,29083,Henry County,"Henry County, Missouri",0.890,9548,812
Iowa,IA,19021,Buena Vista County,"Buena Vista County, Iowa",0.889,7645,813
Texas,TX,48217,Hill County,"Hill County, Texas",0.889,13503,814
Louisiana,LA,22071,Orleans Parish,"Orleans Parish, Louisiana",0.888,143851,815
West Virginia,WV,54049,Marion County,"Marion County, West Virginia",0.887,22761,816
Alabama,AL,1045,Dale County,"Dale County, Alabama",0.887,19609,817
Nebraska,NE,31169,Thayer County,"Thayer County, Nebraska",0.887,2254,818
Arizona,AZ,4009,Graham County,"Graham County, Arizona",0.886,10944,819
Virginia,VA,51157,Rappahannock County,"Rappahannock County, Virginia",0.885,3276,820
South Dakota,SD,46017,Buffalo County,"Buffalo County, South Dakota",0.883,566,821
Ohio,OH,39117,Morrow County,"Morrow County, Ohio",0.882,13035,822
Louisiana,LA,22043,Grant Parish,"Grant Parish, Louisiana",0.881,7374,823
Florida,FL,12029,Dixie County,"Dixie County, Florida",0.881,6014,824
North Carolina,NC,37137,Pamlico County,"Pamlico County, North Carolina",0.881,5223,825
North Carolina,NC,37013,Beaufort County,"Beaufort County, North Carolina",0.879,19679,826
Iowa,IA,19173,Taylor County,"Taylor County, Iowa",0.877,2736,827
Oklahoma,OK,40095,Marshall County,"Marshall County, Oklahoma",0.877,5928,827
Louisiana,LA,22125,West Feliciana Parish,"West Feliciana Parish, Louisiana",0.877,3991,829
Georgia,GA,13241,Rabun County,"Rabun County, Georgia",0.875,6858,830
Texas,TX,48123,DeWitt County,"DeWitt County, Texas",0.871,6890,831
Oregon,OR,41013,Crook County,"Crook County, Oregon",0.869,8745,832
Mississippi,MS,28003,Alcorn County,"Alcorn County, Mississippi",0.868,14164,833
Texas,TX,48209,Hays County,"Hays County, Texas",0.867,54543,834
Texas,TX,48227,Howard County,"Howard County, Texas",0.867,11079,835
Georgia,GA,13183,Long County,"Long County, Georgia",0.865,4855,836
Wyoming,WY,56037,Sweetwater County,"Sweetwater County, Wyoming",0.865,16535,837
Texas,TX,48475,Ward County,"Ward County, Texas",0.864,3934,838
Kentucky,KY,21083,Graves County,"Graves County, Kentucky",0.864,14699,839
Ohio,OH,39109,Miami County,"Miami County, Ohio",0.864,41225,840
Mississippi,MS,28051,Holmes County,"Holmes County, Mississippi",0.863,6604,841
Texas,TX,48373,Polk County,"Polk County, Texas",0.863,17038,842
Oregon,OR,41065,Wasco County,"Wasco County, Oregon",0.862,9748,843
Georgia,GA,13115,Floyd County,"Floyd County, Georgia",0.861,34950,844
Virginia,VA,51043,Clarke County,"Clarke County, Virginia",0.860,5580,845
Mississippi,MS,28049,Hinds County,"Hinds County, Mississippi",0.859,88197,846
Minnesota,MN,27061,Itasca County,"Itasca County, Minnesota",0.859,18968,847
Pennsylvania,PA,42099,Perry County,"Perry County, Pennsylvania",0.859,18160,848
Nebraska,NE,31121,Merrick County,"Merrick County, Nebraska",0.857,3266,849
Montana,MT,30033,Garfield County,"Garfield County, Montana",0.857,467,850
Ohio,OH,39073,Hocking County,"Hocking County, Ohio",0.856,11562,851
Missouri,MO,29073,Gasconade County,"Gasconade County, Missouri",0.856,6310,852
New York,NY,36069,Ontario County,"Ontario County, New York",0.856,43822,853
Missouri,MO,29055,Crawford County,"Crawford County, Missouri",0.854,9600,854
South Dakota,SD,46037,Day County,"Day County, South Dakota",0.853,2462,855
Wyoming,WY,56019,Johnson County,"Johnson County, Wyoming",0.852,3754,856
Minnesota,MN,27057,Hubbard County,"Hubbard County, Minnesota",0.851,8579,857
Idaho,ID,16073,Owyhee County,"Owyhee County, Idaho",0.850,3881,858
Wyoming,WY,56005,Campbell County,"Campbell County, Wyoming",0.850,16937,859
Florida,FL,12053,Hernando County,"Hernando County, Florida",0.848,70617,860
Oregon,OR,41051,Multnomah County,"Multnomah County, Oregon",0.846,303654,861
Colorado,CO,8097,Pitkin County,"Pitkin County, Colorado",0.844,7347,862
New York,NY,36101,Steuben County,"Steuben County, New York",0.843,41268,863
Tennessee,TN,47003,Bedford County,"Bedford County, Tennessee",0.843,16142,864
North Dakota,ND,38085,Sioux County,"Sioux County, North Dakota",0.842,1069,865
Kansas,KS,20113,McPherson County,"McPherson County, Kansas",0.841,11528,866
Texas,TX,48009,Archer County,"Archer County, Texas",0.841,3330,867
Iowa,IA,19107,Keokuk County,"Keokuk County, Iowa",0.839,4410,868
Oklahoma,OK,40023,Choctaw County,"Choctaw County, Oklahoma",0.838,6083,869
Arkansas,AR,5129,Searcy County,"Searcy County, Arkansas",0.837,3347,870
Texas,TX,48021,Bastrop County,"Bastrop County, Texas",0.836,25471,871
South Carolina,SC,45007,Anderson County,"Anderson County, South Carolina",0.836,73010,872
Oklahoma,OK,40013,Bryan County,"Bryan County, Oklahoma",0.835,16398,873
Arkansas,AR,5009,Boone County,"Boone County, Arkansas",0.834,14748,874
New York,NY,36061,New York County,"New York County, New York",0.832,738131,875
South Carolina,SC,45037,Edgefield County,"Edgefield County, South Carolina",0.832,9016,876
Georgia,GA,13029,Bryan County,"Bryan County, Georgia",0.831,10952,877
Arizona,AZ,4011,Greenlee County,"Greenlee County, Arizona",0.831,3371,878
Missouri,MO,29107,Lafayette County,"Lafayette County, Missouri",0.830,13250,879
Arkansas,AR,5017,Chicot County,"Chicot County, Arkansas",0.829,4707,880
New York,NY,36005,Bronx County,"Bronx County, New York",0.828,473281,881
Virginia,VA,51185,Tazewell County,"Tazewell County, Virginia",0.827,18136,882
Missouri,MO,29045,Clark County,"Clark County, Missouri",0.827,2781,883
Georgia,GA,13169,Jones County,"Jones County, Georgia",0.826,10531,884
Mississippi,MS,28025,Clay County,"Clay County, Mississippi",0.826,7873,885
Pennsylvania,PA,42023,Cameron County,"Cameron County, Pennsylvania",0.824,2184,886
Virginia,VA,51165,Rockingham County,"Rockingham County, Virginia",0.824,29616,887
South Dakota,SD,46091,Marshall County,"Marshall County, South Dakota",0.823,1701,888
Oregon,OR,41027,Hood River County,"Hood River County, Oregon",0.822,8027,889
Arkansas,AR,5015,Carroll County,"Carroll County, Arkansas",0.822,11316,890
Virginia,VA,51660,Harrisonburg city,"Harrisonburg city, Virginia",0.822,15334,891
Arkansas,AR,5067,Jackson County,"Jackson County, Arkansas",0.821,6456,892
South Carolina,SC,45017,Calhoun County,"Calhoun County, South Carolina",0.820,6096,893
Texas,TX,48299,Llano County,"Llano County, Texas",0.820,8536,894
Virginia,VA,51023,Botetourt County,"Botetourt County, Virginia",0.819,12822,895
South Carolina,SC,45027,Clarendon County,"Clarendon County, South Carolina",0.819,12215,896
Kansas,KS,20157,Republic County,"Republic County, Kansas",0.818,2322,897
Illinois,IL,17081,Jefferson County,"Jefferson County, Illinois",0.817,15178,898
Arkansas,AR,5057,Hempstead County,"Hempstead County, Arkansas",0.816,8575,899
Colorado,CO,8115,Sedgwick County,"Sedgwick County, Colorado",0.815,981,900
West Virginia,WV,54055,Mercer County,"Mercer County, West Virginia",0.814,25784,901
Texas,TX,48409,San Patricio County,"San Patricio County, Texas",0.814,22235,902
South Carolina,SC,45005,Allendale County,"Allendale County, South Carolina",0.813,3442,903
North Carolina,NC,37029,Camden County,"Camden County, North Carolina",0.813,3565,904
Missouri,MO,29125,Maries County,"Maries County, Missouri",0.812,3696,905
Kansas,KS,20111,Lyon County,"Lyon County, Kansas",0.811,13196,906
Minnesota,MN,27005,Becker County,"Becker County, Minnesota",0.810,13454,907
California,CA,6097,Sonoma County,"Sonoma County, California",0.810,184502,908
Minnesota,MN,27089,Marshall County,"Marshall County, Minnesota",0.808,4082,909
Michigan,MI,26057,Gratiot County,"Gratiot County, Michigan",0.808,14721,910
Kentucky,KY,21155,Marion County,"Marion County, Kentucky",0.808,7423,911
Mississippi,MS,28141,Tishomingo County,"Tishomingo County, Mississippi",0.806,7569,912
Massachusetts,MA,25013,Hampden County,"Hampden County, Massachusetts",0.806,177756,913
Texas,TX,48327,Menard County,"Menard County, Texas",0.806,869,914
Florida,FL,12013,Calhoun County,"Calhoun County, Florida",0.804,4852,915
Vermont,VT,50021,Rutland County,"Rutland County, Vermont",0.802,26047,916
Georgia,GA,13093,Dooly County,"Dooly County, Georgia",0.801,4994,917
Mississippi,MS,28001,Adams County,"Adams County, Mississippi",0.800,12243,918
New York,NY,36095,Schoharie County,"Schoharie County, New York",0.800,12627,919
Alabama,AL,1051,Elmore County,"Elmore County, Alabama",0.799,28143,920
New Mexico,NM,35011,De Baca County,"De Baca County, New Mexico",0.799,751,921
Illinois,IL,17029,Coles County,"Coles County, Illinois",0.799,21156,922
Virginia,VA,51015,Augusta County,"Augusta County, Virginia",0.799,28297,923
California,CA,6099,Stanislaus County,"Stanislaus County, California",0.798,165999,924
Tennessee,TN,47109,McNairy County,"McNairy County, Tennessee",0.797,9908,925
Texas,TX,48295,Lipscomb County,"Lipscomb County, Texas",0.797,1129,926
Tennessee,TN,47189,Wilson County,"Wilson County, Tennessee",0.796,42578,927
Iowa,IA,19001,Adair County,"Adair County, Iowa",0.795,3270,928
Texas,TX,48293,Limestone County,"Limestone County, Texas",0.795,7928,929
Kentucky,KY,21159,Martin County,"Martin County, Kentucky",0.794,4408,930
Michigan,MI,26133,Osceola County,"Osceola County, Michigan",0.792,8964,931
Kansas,KS,20165,Rush County,"Rush County, Kansas",0.792,1516,932
Michigan,MI,26163,Wayne County,"Wayne County, Michigan",0.792,674263,933
South Carolina,SC,45057,Lancaster County,"Lancaster County, South Carolina",0.791,28949,934
Wisconsin,WI,55035,Eau Claire County,"Eau Claire County, Wisconsin",0.791,39710,935
Arkansas,AR,5059,Hot Spring County,"Hot Spring County, Arkansas",0.790,12271,936
Minnesota,MN,27013,Blue Earth County,"Blue Earth County, Minnesota",0.787,24259,937
North Carolina,NC,37085,Harnett County,"Harnett County, North Carolina",0.787,40530,938
New Mexico,NM,35053,Socorro County,"Socorro County, New Mexico",0.786,5474,939
Wisconsin,WI,55075,Marinette County,"Marinette County, Wisconsin",0.785,18855,940
Missouri,MO,29063,DeKalb County,"DeKalb County, Missouri",0.785,3823,941
West Virginia,WV,54015,Clay County,"Clay County, West Virginia",0.785,3441,942
Ohio,OH,39047,Fayette County,"Fayette County, Ohio",0.784,11474,943
Georgia,GA,13263,Talbot County,"Talbot County, Georgia",0.784,2680,944
Nevada,NV,32013,Humboldt County,"Humboldt County, Nevada",0.783,6256,945
Alaska,AK,2130,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, Alaska",0.783,5367,946
Georgia,GA,13039,Camden County,"Camden County, Georgia",0.782,18152,947
Georgia,GA,13319,Wilkinson County,"Wilkinson County, Georgia",0.782,3326,948
Maryland,MD,24510,Baltimore city,"Baltimore city, Maryland",0.781,240630,949
Michigan,MI,26001,Alcona County,"Alcona County, Michigan",0.781,4740,950
North Carolina,NC,37069,Franklin County,"Franklin County, North Carolina",0.780,23319,951
Louisiana,LA,22105,Tangipahoa Parish,"Tangipahoa Parish, Louisiana",0.779,44286,952
Georgia,GA,13067,Cobb County,"Cobb County, Georgia",0.778,259715,953
Iowa,IA,19047,Crawford County,"Crawford County, Iowa",0.777,6303,954
Wisconsin,WI,55069,Lincoln County,"Lincoln County, Wisconsin",0.776,12754,955
New Jersey,NJ,34039,Union County,"Union County, New Jersey",0.776,184743,956
Utah,UT,49047,Uintah County,"Uintah County, Utah",0.776,10957,957
Texas,TX,48375,Potter County,"Potter County, Texas",0.775,42430,958
California,CA,6101,Sutter County,"Sutter County, California",0.774,31635,959
North Carolina,NC,37093,Hoke County,"Hoke County, North Carolina",0.774,15381,960
Nebraska,NE,31079,Hall County,"Hall County, Nebraska",0.774,22106,961
North Carolina,NC,37127,Nash County,"Nash County, North Carolina",0.773,37636,962
Utah,UT,49005,Cache County,"Cache County, Utah",0.772,35234,963
Arkansas,AR,5035,Crittenden County,"Crittenden County, Arkansas",0.770,18560,964
Arizona,AZ,4025,Yavapai County,"Yavapai County, Arizona",0.770,91168,965
Mississippi,MS,28137,Tate County,"Tate County, Mississippi",0.770,10003,966
California,CA,6063,Plumas County,"Plumas County, California",0.768,9109,967
Michigan,MI,26031,Cheboygan County,"Cheboygan County, Michigan",0.768,11459,968
Mississippi,MS,28021,Claiborne County,"Claiborne County, Mississippi",0.768,3257,969
Texas,TX,48325,Medina County,"Medina County, Texas",0.766,15413,970
Missouri,MO,29059,Dallas County,"Dallas County, Missouri",0.765,6532,971
Ohio,OH,39115,Morgan County,"Morgan County, Ohio",0.765,6271,972
Missouri,MO,29033,Carroll County,"Carroll County, Missouri",0.765,3659,973
Virginia,VA,51171,Shenandoah County,"Shenandoah County, Virginia",0.765,17261,974
Georgia,GA,13159,Jasper County,"Jasper County, Georgia",0.765,5101,975
Maine,ME,23023,Sagadahoc County,"Sagadahoc County, Maine",0.764,14800,976
Oklahoma,OK,40101,Muskogee County,"Muskogee County, Oklahoma",0.762,27051,977
New York,NY,36047,Kings County,"Kings County, New York",0.761,911995,978
Indiana,IN,18123,Perry County,"Perry County, Indiana",0.760,7499,979
New York,NY,36045,Jefferson County,"Jefferson County, New York",0.759,45162,980
North Dakota,ND,38049,McHenry County,"McHenry County, North Dakota",0.759,2503,981
South Carolina,SC,45069,Marlboro County,"Marlboro County, South Carolina",0.759,9881,982
South Dakota,SD,46027,Clay County,"Clay County, South Dakota",0.758,5142,983
Nebraska,NE,31043,Dakota County,"Dakota County, Nebraska",0.758,7253,984
California,CA,6023,Humboldt County,"Humboldt County, California",0.758,53307,985
Texas,TX,48187,Guadalupe County,"Guadalupe County, Texas",0.758,45411,986
Iowa,IA,19029,Cass County,"Cass County, Iowa",0.757,6074,987
Minnesota,MN,27043,Faribault County,"Faribault County, Minnesota",0.757,6340,988
Pennsylvania,PA,42015,Bradford County,"Bradford County, Pennsylvania",0.757,24445,989
Montana,MT,30081,Ravalli County,"Ravalli County, Montana",0.756,16657,990
North Carolina,NC,37153,Richmond County,"Richmond County, North Carolina",0.756,17850,991
Tennessee,TN,47025,Claiborne County,"Claiborne County, Tennessee",0.755,12707,992
Texas,TX,48093,Comanche County,"Comanche County, Texas",0.755,5296,993
South Dakota,SD,46063,Harding County,"Harding County, South Dakota",0.755,530,994
Texas,TX,48037,Bowie County,"Bowie County, Texas",0.755,33920,994
Oregon,OR,41035,Klamath County,"Klamath County, Oregon",0.753,27747,996
Utah,UT,49017,Garfield County,"Garfield County, Utah",0.752,1995,997
Indiana,IN,18077,Jefferson County,"Jefferson County, Indiana",0.752,12637,998
Louisiana,LA,22009,Avoyelles Parish,"Avoyelles Parish, Louisiana",0.751,15583,999
Nevada,NV,32023,Nye County,"Nye County, Nevada",0.750,18274,1000
Montana,MT,30067,Park County,"Park County, Montana",0.749,6539,1001
Colorado,CO,8077,Mesa County,"Mesa County, Colorado",0.749,58635,1002
Washington,WA,53073,Whatcom County,"Whatcom County, Washington",0.748,79244,1003
Kentucky,KY,21147,McCreary County,"McCreary County, Kentucky",0.748,6287,1004
Georgia,GA,13175,Laurens County,"Laurens County, Georgia",0.747,17533,1005
Iowa,IA,19089,Howard County,"Howard County, Iowa",0.747,4016,1006
Kentucky,KY,21001,Adair County,"Adair County, Kentucky",0.746,7236,1007
South Dakota,SD,46011,Brookings County,"Brookings County, South Dakota",0.746,11660,1008
New York,NY,36033,Franklin County,"Franklin County, New York",0.746,19170,1009
Kansas,KS,20191,Sumner County,"Sumner County, Kansas",0.745,9258,1010
Mississippi,MS,28045,Hancock County,"Hancock County, Mississippi",0.745,17712,1011
Florida,FL,12133,Washington County,"Washington County, Florida",0.745,8589,1012
Oklahoma,OK,40021,Cherokee County,"Cherokee County, Oklahoma",0.744,16801,1013
Ohio,OH,39145,Scioto County,"Scioto County, Ohio",0.744,29570,1014
New Jersey,NJ,34017,Hudson County,"Hudson County, New Jersey",0.744,243156,1015
Tennessee,TN,47115,Marion County,"Marion County, Tennessee",0.740,11214,1016
Texas,TX,48481,Wharton County,"Wharton County, Texas",0.738,14638,1017
Kentucky,KY,21071,Floyd County,"Floyd County, Kentucky",0.737,15602,1018
New Jersey,NJ,34001,Atlantic County,"Atlantic County, New Jersey",0.737,101018,1019
Louisiana,LA,22061,Lincoln Parish,"Lincoln Parish, Louisiana",0.735,16603,1020
Washington,WA,53057,Skagit County,"Skagit County, Washington",0.734,45474,1021
South Carolina,SC,45067,Marion County,"Marion County, South Carolina",0.734,12125,1022
Washington,WA,53001,Adams County,"Adams County, Washington",0.734,5722,1023
Arkansas,AR,5043,Drew County,"Drew County, Arkansas",0.734,7494,1024
Texas,TX,48201,Harris County,"Harris County, Texas",0.734,1412895,1025
California,CA,6047,Merced County,"Merced County, California",0.732,74496,1026
Minnesota,MN,27055,Houston County,"Houston County, Minnesota",0.730,7811,1027
Kentucky,KY,21027,Breckinridge County,"Breckinridge County, Kentucky",0.729,7405,1028
New Hampshire,NH,33005,Cheshire County,"Cheshire County, New Hampshire",0.729,30173,1029
Iowa,IA,19069,Franklin County,"Franklin County, Iowa",0.728,4260,1030
Michigan,MI,26013,Baraga County,"Baraga County, Michigan",0.728,3161,1031
