Statename,State,FIPS,COUNTY,checker,plumbing,total,rank
New Mexico,NM,35003,Catron County,"Catron County, New Mexico",2.855,1681,79
Virginia,VA,51125,Nelson County,"Nelson County, Virginia",2.853,6415,80
Colorado,CO,8021,Conejos County,"Conejos County, Colorado",2.837,3137,81
Colorado,CO,8023,Costilla County,"Costilla County, Colorado",2.821,1418,82
South Dakota,SD,46121,Todd County,"Todd County, South Dakota",2.817,2662,83
Wisconsin,WI,55099,Price County,"Price County, Wisconsin",2.816,6890,84
Montana,MT,30053,Lincoln County,"Lincoln County, Montana",2.798,8971,85
Texas,TX,48507,Zavala County,"Zavala County, Texas",2.783,3557,86
Idaho,ID,16009,Benewah County,"Benewah County, Idaho",2.764,3762,87
Georgia,GA,13017,Ben Hill County,"Ben Hill County, Georgia",2.742,6383,88
Oklahoma,OK,40077,Latimer County,"Latimer County, Oklahoma",2.723,4224,89
Washington,WA,53047,Okanogan County,"Okanogan County, Washington",2.713,15740,90
Wisconsin,WI,55053,Jackson County,"Jackson County, Wisconsin",2.706,8167,91
Montana,MT,30039,Granite County,"Granite County, Montana",2.690,1487,92
Wisconsin,WI,55019,Clark County,"Clark County, Wisconsin",2.675,13083,93
South Dakota,SD,46031,Corson County,"Corson County, South Dakota",2.663,1164,94
Nebraska,NE,31003,Antelope County,"Antelope County, Nebraska",2.645,2836,95
Colorado,CO,8011,Bent County,"Bent County, Colorado",2.640,1932,96
Texas,TX,48317,Martin County,"Martin County, Texas",2.613,1531,97
South Dakota,SD,46047,Fall River County,"Fall River County, South Dakota",2.605,3110,98
New Mexico,NM,35039,Rio Arriba County,"Rio Arriba County, New Mexico",2.600,14959,99
Mississippi,MS,28065,Jefferson Davis County,"Jefferson Davis County, Mississippi",2.597,4851,100
Missouri,MO,29179,Reynolds County,"Reynolds County, Missouri",2.586,2746,101
Oregon,OR,41037,Lake County,"Lake County, Oregon",2.580,3566,102
Texas,TX,48249,Jim Wells County,"Jim Wells County, Texas",2.568,13515,103
Idaho,ID,16021,Boundary County,"Boundary County, Idaho",2.565,4093,104
Colorado,CO,8095,Phillips County,"Phillips County, Colorado",2.556,1643,105
Texas,TX,48319,Mason County,"Mason County, Texas",2.544,1690,106
Tennessee,TN,47027,Clay County,"Clay County, Tennessee",2.524,3289,107
Montana,MT,30059,Meagher County,"Meagher County, Montana",2.479,726,108
Arkansas,AR,5135,Sharp County,"Sharp County, Arkansas",2.477,7064,109
Texas,TX,48133,Eastland County,"Eastland County, Texas",2.477,7145,110
Virginia,VA,51169,Scott County,"Scott County, Virginia",2.477,9610,111
West Virginia,WV,54071,Pendleton County,"Pendleton County, West Virginia",2.474,3355,112
Washington,WA,53019,Ferry County,"Ferry County, Washington",2.468,2877,113
Texas,TX,48109,Culberson County,"Culberson County, Texas",2.459,854,114
Alaska,AK,2195,Petersburg Census Area,"Petersburg Census Area, Alaska",2.454,1671,115
Georgia,GA,13011,Banks County,"Banks County, Georgia",2.403,6783,116
Mississippi,MS,28143,Tunica County,"Tunica County, Mississippi",2.401,4081,117
Washington,WA,53055,San Juan County,"San Juan County, Washington",2.373,7963,118
Georgia,GA,13315,Wilcox County,"Wilcox County, Georgia",2.371,2657,119
California,CA,6075,San Francisco County,"San Francisco County, California",2.369,340839,120
Texas,TX,48457,Tyler County,"Tyler County, Texas",2.360,8179,121
Arizona,AZ,4007,Gila County,"Gila County, Arizona",2.356,20245,122
Kentucky,KY,21181,Nicholas County,"Nicholas County, Kentucky",2.343,2731,123
Georgia,GA,13249,Schley County,"Schley County, Georgia",2.340,1752,124
Arkansas,AR,5087,Madison County,"Madison County, Arkansas",2.340,6069,125
Pennsylvania,PA,42063,Indiana County,"Indiana County, Pennsylvania",2.329,34483,126
Texas,TX,48215,Hidalgo County,"Hidalgo County, Texas",2.328,214396,127
Colorado,CO,8109,Saguache County,"Saguache County, Colorado",2.311,2726,128
Hawaii,HI,15001,Hawaii County,"Hawaii County, Hawaii",2.303,64556,129
South Dakota,SD,46057,Hamlin County,"Hamlin County, South Dakota",2.294,2049,130
Nebraska,NE,31087,Hitchcock County,"Hitchcock County, Nebraska",2.286,1356,131
Kentucky,KY,21233,Webster County,"Webster County, Kentucky",2.282,4995,132
Alaska,AK,2230,Skagway Municipality Census Area,"Skagway Municipality Census Area, Alaska",2.278,395,133
Minnesota,MN,27045,Fillmore County,"Fillmore County, Minnesota",2.264,8525,134
Pennsylvania,PA,42087,Mifflin County,"Mifflin County, Pennsylvania",2.264,18952,135
Florida,FL,12087,Monroe County,"Monroe County, Florida",2.250,28758,136
Virginia,VA,51131,Northampton County,"Northampton County, Virginia",2.249,5025,137
Texas,TX,48447,Throckmorton County,"Throckmorton County, Texas",2.243,758,138
South Carolina,SC,45009,Bamberg County,"Bamberg County, South Carolina",2.240,5760,139
Colorado,CO,8033,Dolores County,"Dolores County, Colorado",2.230,807,140
Texas,TX,48463,Uvalde County,"Uvalde County, Texas",2.229,8660,141
Washington,WA,53051,Pend Oreille County,"Pend Oreille County, Washington",2.227,5434,142
Mississippi,MS,28127,Simpson County,"Simpson County, Mississippi",2.225,9979,143
Louisiana,LA,22085,Sabine Parish,"Sabine Parish, Louisiana",2.223,9223,144
Texas,TX,48385,Real County,"Real County, Texas",2.217,1218,145
Wyoming,WY,56011,Crook County,"Crook County, Wyoming",2.206,2946,146
Kentucky,KY,21187,Owen County,"Owen County, Kentucky",2.206,4578,147
Kentucky,KY,21199,Pulaski County,"Pulaski County, Kentucky",2.180,26375,148
Virginia,VA,51181,Surry County,"Surry County, Virginia",2.177,2572,149
Montana,MT,30099,Teton County,"Teton County, Montana",2.177,2389,150
Georgia,GA,13101,Echols County,"Echols County, Georgia",2.176,1333,151
Georgia,GA,13027,Brooks County,"Brooks County, Georgia",2.172,6445,152
Georgia,GA,13087,Decatur County,"Decatur County, Georgia",2.172,10498,153
Texas,TX,48127,Dimmit County,"Dimmit County, Texas",2.159,3428,154
Tennessee,TN,47075,Haywood County,"Haywood County, Tennessee",2.154,7104,155
Alaska,AK,2220,Sitka City and Borough,"Sitka City and Borough, Alaska",2.153,3623,156
Kentucky,KY,21095,Harlan County,"Harlan County, Kentucky",2.143,11058,157
Alaska,AK,2060,Bristol Bay Borough,"Bristol Bay Borough, Alaska",2.133,375,158
Maine,ME,23029,Washington County,"Washington County, Maine",2.121,14096,159
Kentucky,KY,21225,Union County,"Union County, Kentucky",2.107,5410,160
Iowa,IA,19159,Ringgold County,"Ringgold County, Iowa",2.105,2043,161
Mississippi,MS,28125,Sharkey County,"Sharkey County, Mississippi",2.105,1663,162
Alabama,AL,1065,Hale County,"Hale County, Alabama",2.096,5965,163
Virginia,VA,51001,Accomack County,"Accomack County, Virginia",2.086,14286,164
Kentucky,KY,21203,Rockcastle County,"Rockcastle County, Kentucky",2.078,6497,165
Kentucky,KY,21133,Letcher County,"Letcher County, Kentucky",2.070,9324,166
Virginia,VA,51620,Franklin city,"Franklin city, Virginia",2.067,3532,167
Texas,TX,48003,Andrews County,"Andrews County, Texas",2.064,5183,168
New Mexico,NM,35021,Harding County,"Harding County, New Mexico",2.058,243,169
Mississippi,MS,28053,Humphreys County,"Humphreys County, Mississippi",2.058,3159,169
Iowa,IA,19175,Union County,"Union County, Iowa",2.056,5351,171
Kentucky,KY,21003,Allen County,"Allen County, Kentucky",2.055,7980,172
Michigan,MI,26023,Branch County,"Branch County, Michigan",2.045,16036,173
Georgia,GA,13307,Webster County,"Webster County, Georgia",2.044,1223,174
Florida,FL,12077,Liberty County,"Liberty County, Florida",2.038,2355,175
Alaska,AK,2013,Aleutians East Borough,"Aleutians East Borough, Alaska",2.030,394,176
Idaho,ID,16003,Adams County,"Adams County, Idaho",2.021,1732,177
Georgia,GA,13277,Tift County,"Tift County, Georgia",2.006,13759,178
Kansas,KS,20073,Greenwood County,"Greenwood County, Kansas",1.995,2907,179
South Dakota,SD,46095,Mellette County,"Mellette County, South Dakota",1.988,654,180
Tennessee,TN,47099,Lawrence County,"Lawrence County, Tennessee",1.970,16089,181
Louisiana,LA,22031,De Soto Parish,"De Soto Parish, Louisiana",1.958,10215,182
Texas,TX,48051,Burleson County,"Burleson County, Texas",1.955,6293,183
Maine,ME,23025,Somerset County,"Somerset County, Maine",1.955,21847,184
Maine,ME,23027,Waldo County,"Waldo County, Maine",1.952,16493,185
Texas,TX,48461,Upton County,"Upton County, Texas",1.951,1179,186
Texas,TX,48495,Winkler County,"Winkler County, Texas",1.946,2672,187
Texas,TX,48479,Webb County,"Webb County, Texas",1.925,67003,188
Texas,TX,48427,Starr County,"Starr County, Texas",1.921,15671,189
Ohio,OH,39005,Ashland County,"Ashland County, Ohio",1.919,20266,190
Nebraska,NE,31123,Morrill County,"Morrill County, Nebraska",1.919,2084,191
Missouri,MO,29129,Mercer County,"Mercer County, Missouri",1.916,1566,192
Montana,MT,30101,Toole County,"Toole County, Montana",1.911,2041,193
Iowa,IA,19051,Davis County,"Davis County, Iowa",1.910,3089,194
Missouri,MO,29153,Ozark County,"Ozark County, Missouri",1.907,4143,195
Kentucky,KY,21221,Trigg County,"Trigg County, Kentucky",1.906,6034,196
Alabama,AL,1085,Lowndes County,"Lowndes County, Alabama",1.905,4252,197
Missouri,MO,29085,Hickory County,"Hickory County, Missouri",1.902,4259,198
Tennessee,TN,47029,Cocke County,"Cocke County, Tennessee",1.900,14791,199
California,CA,6049,Modoc County,"Modoc County, California",1.896,3903,200
California,CA,6105,Trinity County,"Trinity County, California",1.893,5811,201
Mississippi,MS,28129,Smith County,"Smith County, Mississippi",1.890,6244,202
Minnesota,MN,27115,Pine County,"Pine County, Minnesota",1.889,11967,203
Missouri,MO,29215,Texas County,"Texas County, Missouri",1.883,9666,204
Virginia,VA,51195,Wise County,"Wise County, Virginia",1.882,15673,205
New Mexico,NM,35027,Lincoln County,"Lincoln County, New Mexico",1.869,8666,206
Virginia,VA,51029,Buckingham County,"Buckingham County, Virginia",1.868,5728,207
Georgia,GA,13061,Clay County,"Clay County, Georgia",1.868,1285,208
West Virginia,WV,54105,Wirt County,"Wirt County, West Virginia",1.867,2303,209
Ohio,OH,39067,Harrison County,"Harrison County, Ohio",1.866,6324,210
Idaho,ID,16049,Idaho County,"Idaho County, Idaho",1.866,6647,211
West Virginia,WV,54053,Mason County,"Mason County, West Virginia",1.859,10381,212
Montana,MT,30087,Rosebud County,"Rosebud County, Montana",1.857,3285,213
New Mexico,NM,35059,Union County,"Union County, New Mexico",1.854,1672,214
Washington,WA,53059,Skamania County,"Skamania County, Washington",1.850,4378,215
Wisconsin,WI,55007,Bayfield County,"Bayfield County, Wisconsin",1.847,6931,216
Alabama,AL,1111,Randolph County,"Randolph County, Alabama",1.841,8801,217
Pennsylvania,PA,42053,Forest County,"Forest County, Pennsylvania",1.839,1958,218
Washington,WA,53031,Jefferson County,"Jefferson County, Washington",1.833,14181,219
Alabama,AL,1027,Clay County,"Clay County, Alabama",1.831,5734,220
Indiana,IN,18155,Switzerland County,"Switzerland County, Indiana",1.818,4016,221
Montana,MT,30085,Roosevelt County,"Roosevelt County, Montana",1.817,3303,222
Mississippi,MS,28061,Jasper County,"Jasper County, Mississippi",1.799,6891,223
Georgia,GA,13191,McIntosh County,"McIntosh County, Georgia",1.789,5086,224
Mississippi,MS,28023,Clarke County,"Clarke County, Mississippi",1.784,6446,225
